A valid repository for "Hatchelorette" could not be found in the following locations:
Hatchelorette
C:\Users\Jeff/.cookiecutters/Hatchelorette
         336164 function calls (327325 primitive calls) in 2.969 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       26    0.016    0.001    0.016    0.001 _make.py:105(attrib)
       14    0.000    0.000    0.016    0.001 _make.py:1135(add_order)
       70    0.016    0.000    0.016    0.000 _make.py:1138(<genexpr>)
       15    0.016    0.001    0.016    0.001 _make.py:1058(add_init)
       15    0.000    0.000    0.016    0.001 _make.py:778(build_class)
       14    0.000    0.000    0.016    0.001 _make.py:838(_create_slots_class)
        1    0.000    0.000    0.016    0.016 validators.py:233(_InValidator)
        1    0.000    0.000    0.016    0.016 table.py:154(Table)
        1    0.000    0.000    0.016    0.016 console.py:587(Console)
      227    0.016    0.000    0.016    0.000 socket.py:89(<lambda>)
      228    0.016    0.000    0.016    0.000 socket.py:94(<lambda>)
       66    0.000    0.000    0.016    0.000 __init__.py:26(__new__)
        1    0.000    0.000    0.016    0.016 message.py:1(<module>)
        1    0.000    0.000    0.016    0.016 message.py:135(Message)
      129    0.016    0.000    0.016    0.000 ssl.py:130(<lambda>)
      129    0.016    0.000    0.016    0.000 ssl.py:140(<lambda>)
        1    0.000    0.000    0.016    0.016 typing.py:3048(NamedTuple)
        1    0.000    0.000    0.016    0.016 __init__.py:126(EntryPoint)
        1    0.000    0.000    0.016    0.016 calendar.py:1(<module>)
        1    0.000    0.000    0.016    0.016 packages.py:1(<module>)
        1    0.000    0.000    0.016    0.016 _internal_utils.py:1(<module>)
        1    0.000    0.000    0.016    0.016 core.py:1440(__call__)
        1    0.000    0.000    0.016    0.016 core.py:1295(main)
        1    0.000    0.000    0.016    0.016 core.py:1212(invoke)
        1    0.000    0.000    0.016    0.016 core.py:748(invoke)
        1    0.000    0.000    0.016    0.016 cli.py:71(main)
        1    0.000    0.000    0.016    0.016 utils.py:222(echo)
        1    0.000    0.000    0.016    0.016 _compat.py:585(func)
        1    0.000    0.000    0.016    0.016 _compat.py:344(get_text_stdout)
        1    0.000    0.000    0.016    0.016 _compat.py:300(_force_correct_text_writer)
        1    0.000    0.000    0.016    0.016 _compat.py:238(_force_correct_text_stream)
        1    0.000    0.000    0.016    0.016 _compat.py:209(_stream_is_misconfigured)
        1    0.016    0.016    0.016    0.016 _compat.py:40(is_ascii_encoding)
        0    0.000             0.000          profile:0(profiler)
      2/1    0.000    0.000    0.000    0.000 <frozen runpy>:105(_get_module_details)
     3075    0.000    0.000    0.000    0.000 :0(rpartition)
        2    0.000    0.000    0.000    0.000 <frozen importlib.util>:70(find_spec)
     1551    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
     2384    0.000    0.000    0.000    0.000 :0(acquire_lock)
      389    0.000    0.000    0.000    0.000 __init__.py:101(find_spec)
      119    0.000    0.000    0.000    0.000 :0(locals)
      157    0.000    0.000    0.000    0.000 :0(format)
      117    0.000    0.000    0.000    0.000 __init__.py:108(<lambda>)
      389    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
      389    0.000    0.000    0.000    0.000 :0(is_builtin)
      369    0.000    0.000    0.000    0.000 :0(find_frozen)
      691    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
    10971    0.000    0.000    0.000    0.000 :0(rstrip)
4565/4497    0.000    0.000    0.000    0.000 :0(join)
      345    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1184(__init__)
      390    0.000    0.000    0.000    0.000 :0(_path_splitroot)
      511    0.000    0.000    0.000    0.000 :0(replace)
      389    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
      388    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(__init__)
      446    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
      387    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
      388    0.000    0.000    0.000    0.000 :0(allocate_lock)
      894    0.000    0.000    0.000    0.000 :0(get_ident)
      446    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
      446    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
     1272    0.000    0.000    0.000    0.000 :0(__exit__)
      446    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
      447    0.000    0.000    0.000    0.000 :0(remove)
      446    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
      446    0.000    0.000    0.000    0.000 :0(_remove_dead_weakref)
      343    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1017(create_module)
      343    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      391    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:653(has_location)
     1414    0.000    0.000    0.000    0.000 :0(rfind)
  345/342    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:674(_check_name_wrapper)
      344    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1209(get_filename)
      345    0.000    0.000    0.000    0.000 :0(read)
     1032    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:89(_unpack_uint32)
     1054    0.000    0.000    0.000    0.000 :0(from_bytes)
      344    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:782(_compile_bytecode)
      344    0.000    0.000    0.000    0.000 :0(loads)
      344    0.000    0.000    0.000    0.000 :0(_fix_co_filename)
        1    0.000    0.000    0.000    0.000 __init__.py:6(_get_version)
        7    0.000    0.000    0.000    0.000 _local.py:505(__new__)
        7    0.000    0.000    0.000    0.000 _local.py:498(__init__)
        7    0.000    0.000    0.000    0.000 _local.py:117(__init__)
        2    0.000    0.000    0.000    0.000 _local.py:329(parent)
        4    0.000    0.000    0.000    0.000 _local.py:289(drive)
        4    0.000    0.000    0.000    0.000 _local.py:277(_raw_path)
        4    0.000    0.000    0.000    0.000 _local.py:257(_parse_path)
       19    0.000    0.000    0.000    0.000 :0(_path_splitroot_ex)
      167    0.000    0.000    0.000    0.000 :0(split)
      342    0.000    0.000    0.000    0.000 :0(intern)
        4    0.000    0.000    0.000    0.000 _local.py:298(root)
        4    0.000    0.000    0.000    0.000 _local.py:307(_tail)
        2    0.000    0.000    0.000    0.000 _local.py:245(_from_parsed_parts)
        4    0.000    0.000    0.000    0.000 _local.py:237(_format_parsed_parts)
        2    0.000    0.000    0.000    0.000 _local.py:252(_from_parsed_string)
        5    0.000    0.000    0.000    0.000 _abc.py:130(with_segments)
        1    0.000    0.000    0.000    0.000 _local.py:664(resolve)
        1    0.000    0.000    0.000    0.000 <frozen ntpath>:705(realpath)
        3    0.000    0.000    0.000    0.000 :0(_path_normpath)
        2    0.000    0.000    0.000    0.000 _local.py:166(__fspath__)
        3    0.000    0.000    0.000    0.000 _local.py:227(__str__)
        2    0.000    0.000    0.000    0.000 :0(getcwd)
        5    0.000    0.000    0.000    0.000 <frozen ntpath>:50(normcase)
        5    0.000    0.000    0.000    0.000 :0(LCMapStringEx)
        1    0.000    0.000    0.000    0.000 <frozen ntpath>:80(isabs)
        2    0.000    0.000    0.000    0.000 :0(_getfinalpathname)
        1    0.000    0.000    0.000    0.000 _local.py:148(__truediv__)
        1    0.000    0.000    0.000    0.000 _local.py:539(read_text)
        2    0.000    0.000    0.000    0.000 :0(text_encoding)
        1    0.000    0.000    0.000    0.000 _abc.py:628(read_text)
        1    0.000    0.000    0.000    0.000 _local.py:529(open)
        1    0.000    0.000    0.000    0.000 :0(open)
        5    0.000    0.000    0.000    0.000 <frozen ntpath>:99(join)
        1    0.000    0.000    0.000    0.000 <frozen codecs>:312(__init__)
        1    0.000    0.000    0.000    0.000 <frozen codecs>:263(__init__)
        1    0.000    0.000    0.000    0.000 <frozen codecs>:322(decode)
        1    0.000    0.000    0.000    0.000 :0(utf_8_decode)
       19    0.000    0.000    0.000    0.000 :0(strip)
     1316    0.000    0.000    0.000    0.000 :0(pop)
       28    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1487(_path_hooks)
       28    0.000    0.000    0.000    0.000 <frozen zipimport>:68(__init__)
       28    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1716(path_hook_for_FileFinder)
       28    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:169(_path_isdir)
       28    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1598(__init__)
